pid,title,bibliographicCitation,bibliographicCitationRepublished,fullIssueSequenceNumber,creator,dateCreated,description,language,publisher,IsPartOf,rights,source,subject,type,category,articleType,volume,issue,transcription,scholarlyNotes,commentary,relatedPeople,featured,repeated,relatedImage,relatedText,relatedTextIssue,filename,caption,order,layout,collection,thumbnail,manifest,full
unionist--text-0001,Seating of Black Students at the Congregational Church,"<em>The Unionist</em> 1:5 (August 29, 1833)","<em>The Connecticut Courant</em> September 2, 1833, p. 2 (Vol. LXIX, No. 3580)",,Charles C. Burleigh,1833-08-29,"Contesting, the exclusion of the African-American students of the Canterbury Female Academy, from seating in the Congregational Church, with documents",English,Connecticut Courant,1833-09-02,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Canterbury Female Academy; Religion; African-American Students,Text,Unionist content,,1,5,"<p><em>From the (Brooklyn) Unionist, August 29</em></p> <p> The last Advertiser declares that the story of the exclusion of Miss Crandall’s scholars from the meeting house “is wholly false.” We expressed surprise at a declaration so unqualified, and whether we had not some cause to do so, we leave our readers to decide, after they have read the following correspondence and the statement subjoined to it. </p> <p> We say nothing of the feelings which must have dictated such a course, except that we envy not their possessor. We wish merely to put on&nbsp; record the simple fact, that Miss Crandall’s pupils cannot attend public worship on the sabbath, in the only church within three miles of Miss C’s residence, without being called in question for so doing,—nay more—that they are virtually excluded from that place of worship, though some of them it is said are members of the church which regularly assembles there for public worship. And this is a land professedly Christian, in a State which boasts of its benevolent efforts to diffuse the blessings of the gospel among the distant heathen.” </p> <p align=""center"">——</p> <p align=""center"">To Miss PRUDENCE CRANDALL.</p> <p> When the committee visited you last February, stating their objections to your school, they understood from you, by your voluntary suggestion, that you should never desire, and never would put your coloured scholars into the meeting house — that you could have preaching at your own house, either black or white, and you also added, that the citizens of Canterbury need have no anxiety on that account, they might be assured, no such request would ever be made. </p> <p> It appears now, that you have departed from this voluntary declaration and put your colored scholars into pews ever occupied by the white females of the parish. We ask you to inform us soon, by whose license, you have thus taken possession of that part of the meeting house . &nbsp; Canterbury July 26th 1833 </p> <p>SOLOMON PAYNE,</p> <p> ANDREW HARRIS,</p> <p> ISAAC KNIGHT.</p> <p> Society Com'tee.</p> <p>(A true copy.)&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; July 20, 1833. </p> <p>&nbsp; &nbsp;Please inform Dr. Harris to-day.</p> <p align=""center"">——</p> <p align=""right""> <em>Canterbury, July</em> 29, 1833. </p> <p>TO SOLOMON PAYNE, ANDREW HARRIS, and ISAAC KNIGHT,</p> <p> &nbsp;&nbsp; Gentlemen—I received a letter from you on the 27 <sup>th</sup> in which you asked me to inform you soon by whose licence I have taken possession of that part of the meeting house that was occupied by my colored scholars on the sabbath previous. </p> <p> &nbsp;&nbsp; I can inform you that the authority, whether lawful or unlawful, by which I permitted my family to enter the gallery of your church, was permission received from two of the Society’s committee, viz. Dr. Harris and Deacon Bacon. </p> <p> &nbsp;&nbsp; On Saturday the 6 <sup>th</sup> of this month I sent a verbal request by Samuel L. Hough to the gentlemen whom I address, asking your permission to attend Divine worship with you on the sabbath. I asked Captain Hough to inform you that I would purchase seats sufficient for my scholars if agreeable to you, if not, any part or portion of the meeting house you might see fit for us to occupy, would be acceptable. Of this Mr. Hough said he informed you. Dr. Harris, in answer, said we might occupy the seat in the gallery appropriated to colored persons. Mr. Hough then remarked that the seat would not be sufficient for the scholars—Deacon Bacon then replied, that we might take the next pews until we had enough to be seated. </p> <p> &nbsp;&nbsp; Truly I said to the Committee that visited me in February last—The scholars who come here shall not trouble you on the Sabbath, for we can have preaching, either by colored or white ministers in our own house. The committee made me no reply at the time if I am not mistaken, and I think I am not. </p> <p> &nbsp;&nbsp; Upon mature consideration (as regular preaching here was not very readily obtained) I considered that I had done entirely wrong in depriving my scholars of the privilege of attending religious worship in this village. </p> <p> &nbsp;&nbsp; These are my reasons for asking the privilege of entering your church; and all the licence I have received is as given above. </p> <p align=""center""> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yours with respect, </p> <p>P. CRANDALL.</p> <p> &nbsp;&nbsp; Shortly after the above answer was sent by Miss Crandall to the foregoing communication, she received a verbal message, by Samuel L. Hough, Esq. from SOLOMON PAYNE, Esq. directing her not to go into the meeting house again with her pupils. For the truth of this last statement we rely upon the declaration of Samuel L. Hough, Esq. </p> ",,"Church attendance, and church membership, were valorized cultural norms. Church seating was institutionalized as a marker of white supremacy, with African-Americans most often being limited to seats in the balcony. In fact, this very issue had led to the walkout by Black leaders Richard Allen and Absalom Jones from St. George's Methodist Church in Philadelphia that launched the [northern Black independent chuch movement] (http://nationalhumanitiescenter.org/pds/maai/community/text3/allenmethodism.pdf). Therefore this particular battle in Canterbury carried great emotional and strategic weight. For those reading about this controversy in the press - including <em>The Unionist</em> - the idea of denying the students access to attending church created an informal litmus test: spiritual equality before God (favoring the students) or preserving caste privilege in the key social institution that was the Congregational Church in Connecticut.",Solomon Payne; Andrew Harris; Prudence Crandall: Samuel L. Hough; Ashael Bacon; Isaac Knight,Yes,,unionist--image-0062,,,,,0,items_item,items,,,
unionist--text-0002,Formation of the Plainfield Anti-Slavery Society,"<em>The Unionist</em> 1:7 (September 12, 1833)","<em>The Liberator</em>, September 21, 1833, p. 151 (3:38:151)",,Charles C. Burleigh; Samuel Joseph May,1833-08-29,Formation of the Plainfield Anti-Slavery Society,English,The Liberator,1833-09-21,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Abolitionist Organizing; Burleigh Family,Text,Unionist content,,1,7,"<p> “The Unionist of August 29, gives an account of a meeting in Plainfield, Ct. at which the <em>‘Anti-Slavery Society of Plainfield, and its vicinity,’</em> was organized. An address was delivered by Mr. Andrew Rockwell, and a constitution adopted. Forty three persons then became members of the Society. The following persons were then chosen officers. </p> <p> Dea. Rinaldo Burleigh, <em>President</em> </p> <p> Samuel L. Hough, George Sharpe, <em>Vice Presidents</em> </p> <p> Edwin Tucker, <em>Rec. Secretary.</em> </p> <p> Rev. S.J. May, <em>Cor. Secretary.”</em> </p> <p></p> ",,"Samuel L. Hough (1785-1865) was a prominent white man in Canterbury, working as an axe manufactorer. He had enrolled two daughters in the First Academy, and had helped Crandall with a loan toward the mortgage on the building. He appears to play both sides in these early documents; his presence in the Anti-Slavery Society here comes as something of a surprise. He has a [Find-a-Grave memorial with more information]. (https://www.findagrave.com/memorial/55307315/samuel-lockwood-hough?_gl=1*1wbgjbe*_ga*MTUyMjQxNDg5NS4xNjU5NTYyOTE2*_ga_4QT8FMEX30*NTkyNjdiOTctODA4NC00MjRiLTk3ZDYtYjM1MmUzMDY2MWZhLjI4LjEuMTY4MDIwMjgxMS41LjAuMA.#source)",Samuel J. May; Rinaldo Burleigh; Samuel L. Hough; George Sharpe; Andrew Rockwell; Edwin Tucker; Prudence Crandall,Yes,,unionist--image-0120,,,,,1,items_item,items,,,
unionist--text-0011,Negative Reception for The Unionist,"<em>Windham Times</em>, 5 August 1833",,,"Windham Times,",1833-08-05,Negative Reception for The Unionist,English,"Windham Times,",,https://creativecommons.org/publicdomain/mark/1.0/,Windham Times,The Unionist,Text,Negative notice,original,,,"We have received the first number of a new paper published at Brooklyn in this state called <em>“the Unionist.”</em> It proposes to be an <em>independent </em>paper, which means absolute <em>dependence</em> on two or three individuals—it is a <em>one-party</em> paper which is to be understood as opposing the democratic party—and <em>unionist</em> signifies disunion, discord and dissension, provided it is in the power of two or three persons of long purses, negro friendship and church and State view to create them. The Advertiser which is printed at Brooklyn is conducted with far more ability than any paper which ever preceded it in that county, and is more expressive of the feelings and sentiments of the citizens. We doubt whether Tappan &amp; Co. will be able to control the people of Windham county, or whether it is in this power to enlighten them. They best know their own interest, and the <em>Unionist</em> will not <em>unite</em> them in favor of the negro school.","This article reprinted in <em>Eastern Argus</em> 9 Aug 1833, with the title “Another Snake in the Grass” and credits the <em>Hartford Times</em> rather than the <em>Windham Times</em>","The Windham Times, aligned with the pro-colonizationist and Jacksonian forces, is unimpressed with The Unionist",Arthur Tappan,,,unionist--image-0280,,,,,10,items_item,items,,,
unionist--text-0101,Notice of minor leaving guardian,<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.27,,1833-09-05,Notice of minor leaving guardian,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,6,"<p> CAUTION.—All persons are forbid employing John Skinner, a minor, without the consent of the subscriber who is guardian to the said minor, and will require any person employing said minor to account for his services. The said Skinner is 16 years old of a light complexion and middle size. It is expected said minor was enticed away from the care and employ of the subscriber on the 17 <sup>th</sup> inst. and that he wore away a brown linen jacket, Marseilles vest and striped jean pantaloons. </p> <p align=""right"">DANIEL BENNET.</p> <p>Canterbury August 30, 1833r&nbsp;</p> ","ironic, due to similarity to runway slave language","I could not find the definitive facts about this case, but I've included the likely 1830 Census report on the Bennett household.",John Skinner; Daniel Bennet,,,unionist--image-0171,,,,,100,items_item,items,,,
unionist--text-0102,Insurance,<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.28,,1833-09-05,Advertisement for Insurance,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisements,Text,Unionist content,,1,6,"<p align=""center""><strong>INSURANCE.</strong></p> <p> DANIEL P. TYLER, Agent for the AETNA INSURANCE OFFICE, will insure all <em>Insurable property</em> on reasonable terms. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Brooklyn 29 <sup>th</sup> July, 1833 . &nbsp; </p> ",,"The Ætna was doing well in this era, paying high dividends and building a strong name for itself, especially in fire insurance. Henry Ross Gall and William George Jordan, <em>One Hundred Years of Fire Insurance: Being a History of the Ætna Insurance Company, Hartford, Connecticut, 1819-1919</em> (Hartford: Ætna Insurance Company, 1919), p. 77.",Daniel P. Tyler,,,unionist--image-0172,,,,,101,items_item,items,,,
unionist--text-0103,"Wanted, a Horse",<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.29,,1833-09-05,Want ad for a horse,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisements,Text,Unionist content,,1,6,"<p> WANTED, a Horse of about 6 or 7 years old that can be warranted sound and kind, good in harness or saddle, and that will stand without tying. Any one having such a horse (none others need apply) can hear of a purchaser, on application to J.B. Whitcomb. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Brooklyn, August 29, 1833. </p> ",,,J.B. Whitcomb,,,unionist--image-0098,,,,,102,items_item,items,,,
unionist--text-0104,Probate Notice,<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.30,,1833-09-05,Probate notice for Jedediah Leavens,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices,Text,Unionist content,,1,6,"<p> AT a Court of Probate holden at Killingly within and for the District of Killingly on the fifth day of August A.D. 1833. </p> <p>Present THOMAS BACKUS, Esq. Judge.</p> <p> On motion of Jedediah Leavens Esq. Administrator on the estate of Jedediah Leavens late of said Killingly, deceased, this court doth hereby limit and appoint six months from the first publication of this order for the creditors of said estate to present their claims against said estate to said administrator after he shall have given public notice of this order by publishing the same in a newspaper printed in Brooklyn in the County of Windham, and posting the same on the public sign post in the East Parish in said town of Killingly. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Certified from Record </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; DAVID CHASE, Clerk. </p> ",,Judge Thomas Backus (1800-1858) was well-connected locally. See his [Find-a-Grave] (https://www.findagrave.com/memorial/77485041/thomas-backus) page.,Jedediah Leavens (probate); Thomas Backus (probate judge); David Chase (probate clerk),,,unionist--image-0173,,,,,103,items_item,items,,,
unionist--text-0105,Missing cow notice,<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.31,,1833-09-05,Missing Cow notice,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Legal Notices; Miscellaneous Filler,Text,Unionist content,,1,6,"<p> TAKEN up, on the 14 <sup>th</sup> of July last, a red one year old heifer, with no artificial mark. The owner is requested to call and prove property, pay charges, and take her away . &nbsp;&nbsp; LORENZO LITCHFIELD. </p> <p> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; West Woodstock, Aug. 12 <sup>th</sup> . 1833,&nbsp; </p> ",,,Lorenzo Litchfield,,,unionist--image-0175,,,,,104,items_item,items,,,
unionist--text-0106,A Card,<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.32,,1833-09-05,Advertisement for a school,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisement - with Education Theme,Text,Unionist content,,1,6,"<p align=""center""> <strong><em>A CARD.</em></strong> </p> <p> G.C. SEGUR intends opening an Academical School in the Town Hall at Hampton, on Monday, August 26, for the instruction of young Ladies and Gentlemen in the various branches of Literature. </p> <p> From his former success in teaching, he flatters himself the school will be pleasant and profitable. </p> <p> Tuition, 25 cts. a week. </p> <p> W3&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 4 </p> ",,"The G.C. Segur mentioned here in Hampton may be related to Abel Segur, who signs the petition to remove the Black Law in the late 1830s.",G.C. Segur,,,unionist--image-0176,,,,,105,items_item,items,,,
unionist--text-0107,"Wool, Leather and Hides",<em>The Unionist</em> 1833-09-05,,1833-09-05 p03.33,,1833-09-05,Advertisement for Buffum and Chace,English,The Unionist,,https://creativecommons.org/publicdomain/mark/1.0/,The Unionist,Advertisement,Text,Unionist content,,1,6,"<p align=""center""><strong>WOOL, LEATHER AND HIDES</strong></p> <p> For sale by BENSON &amp; CHACE . &nbsp; No. 12 Westminster-street, Providence, R.I. </p> ",,,George Benson Jr.; William Chace,,,unionist--image-0100,,,,,106,items_item,items,,,
